S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Duartina,3514502,duartinense,ADERALDO PEREIRA DE SOUZA JUNIOR,264.557,12433,46.31,98.3,748,6.80,425.985.894,3.479.601.249,19047.83
Dumont,3514601,dumonense,ALAN FRANCISCO FERRACINI,111.376,10023,73.13,97.6,744,9.71,2.955.919.567,2.584.689.081,23587.84
Echapor&atilde;,3514700,echaporense,LUIS GUSTAVO EVANGELISTA,515.258,6064,12.26,98.8,745,24.69,2.585.875.298,2.162.941.985,20426.97
Eldorado,3514809,eldoradense,DINOEL PEDROSO ROCHA,1.654.256,15544,8.85,97.3,691,14.56,4.571.182.871,3.975.467.225,20795.32
Elias Fausto,3514908,elias-faustense,MAURICIO BARONI BERNARDINETTI,202.360,17936,77.83,97.3,695,14.42,5.679.578.942,5.215.579.784,40144.54
Elisi&aacute;rio,3514924,elisiarense,CASSIO ROBERTO BERTELLI,93.980,3697,33.20,98.6,747,26.32,1.778.707.463,1.507.041.166,17685.00
Emba&uacute;ba,3514957,embaubense,NERCILIO PINHEIRO DA SILVA,83.129,2449,29.15,100,730,55.56,1.724.591.596,1.403.784.829,21238.83
Embu das Artes,3515004,embuense,CLAUDINEI ALVES DOS SANTOS,70.398,276535,3412.89,96.8,735,11.41,61.927.282.744,55.980.658.715,48914.66
Embu-Gua&ccedil;u,3515103,embu-gua&ccedil;uense,JOSE ANTONIO PEREIRA,155.641,69901,403.32,97.1,749,5.95,1.467.765.067,12.715.569.309,16293.33
Emilian&oacute;polis,3515129,emilian&oacute;polense,JO&Atilde;O BATISTA AMARAL,225.167,3227,13.45,97.3,727,25.00,1.609.947.556,1.395.866.666,19284.00
Engenheiro Coelho,3515152,engenheiro coelhense,ZEEDIVALDO ALVES DE MIRANDA,109.941,21249,142.99,98.5,732,7.35,5.494.101.639,502.249.802,32701.36
Esp&iacute;rito Santo do Pinhal,3515186,pinhalense,CRISTINA DO CARMO BRAND&Atilde;O BUENO DOMINGUES,389.235,44471,107.61,97.9,787,4.18,10.953.581.675,9.830.415.753,32436.36
Esp&iacute;rito Santo do Turvo,3515194,esp&iacute;rito santense,AFONSO NASCIMENTO NETO,193.666,4878,21.92,97.4,696,45.45,2.062.128.969,1.794.254.007,16466.12
Estrela d'Oeste,3515202,estrelense,MARCOS ANT&Ocirc;NIO SAES LOPES,296.281,8419,27.69,99,760,18.35,3.552.662.856,3.289.195.349,74377.84
Estrela do Norte,3515301,estrelense,DEHON APARECIDO TOSO,264.987,2770,10.09,98.9,740,27.78,1.689.817.931,1.434.214.864,18316.56
Euclides da Cunha Paulista,3515350,euclidense,DOMINGOS MENTE LOPES,573.894,9325,16.66,98.5,704,27.27,2.909.225.561,2.647.153.319,16893.29
Fartura,3515400,farturense,LUCIANO PERES,429.171,16070,35.70,97.4,732,5.00,4.907.906.304,4.395.959.744,23162.82
Fernand&oacute;polis,3515509,fernandopolense,ANDR&Eacute; GIOVANNI PESSUTO C&Acirc;NDIDO,549.797,69402,117.62,99.4,797,17.65,19.925.069.195,17.468.338.965,29148.74
Fernando Prestes,3515608,fernando-prestense,RODRIGO RAVAZZI,169.990,5794,32.43,96.5,758,14.93,2.262.927.511,1.967.936.307,33167.17
Fern&atilde;o,3515657,fern&atilde;oense,JOS&Eacute; VALENTIM FODRA,100.504,1727,15.51,99.1,703,55.56,1.638.349.427,1.148.403.755,29359.98
Ferraz de Vasconcelos,3515707,ferrazense,PRISCILA CONCEICAO GAMBALE VIEIRA MATOS,29.564,196500,5692.55,97.6,738,11.03,32.375.851.022,26.726.232.101,16344.03
Flora Rica,3515806,flora-riquense,GILBERTO SANCHES GOMES,224.711,1430,7.78,99.1,727,45.45,1.407.660.941,1.214.719.562,25329.16
Floreal,3515905,florealense,NORIVAL FRANCISCO GARCIA JUNIOR,204.236,2900,14.70,96.2,747,55.56,2.107.683.759,1.743.996.057,21806.07
Fl&oacute;rida Paulista,3516002,floridense,WILSON FR&Oacute;IO JUNIOR,524.138,14790,24.47,98.9,715,23.08,3.664.552.178,3.187.861.943,14264.37
Flor&iacute;nea,3516101,florinense ou florineano,PAULO EDUARDO PINTO,225.886,2653,12.54,96.6,713,25.00,1.938.335.856,165.833.992,50422.89
Franca,3516200,francano,ALEXANDRE AUGUSTO FERREIRA,605.679,355901,526.09,98.2,780,8.80,72.080.010.493,69.376.486.769,28518.78
Francisco Morato,3516309,moratense,RENATA TORRES DE SENE,49.001,177633,3147.80,95.8,703,10.93,32.246.364.999,28.306.188.222,8719.40
Franco da Rocha,3516408,franco-rochense,NIVALDO DA SILVA SANTOS,132.775,156492,980.95,95.7,731,14.24,32.354.370.556,28.328.564.064,19650.05
Gabriel Monteiro,3516507,monteirense,VANDERLEI ANTONINHO MENDON&Ccedil;A,138.681,2776,19.55,99.7,763,40.00,1.577.989.789,138.922.692,26699.71
G&aacute;lia,3516606,galiense,RENATO INACIO GON&Ccedil;ALVES,355.914,6482,19.69,97,709,38.46,2.420.735.271,207.128.507,21643.97
Gar&ccedil;a,3516705,garcense,JO&Atilde;O CARLOS DOS SANTOS,555.807,44409,77.60,98.1,769,16.98,15.464.785.578,13.660.683.684,26874.37
Gast&atilde;o Vidigal,3516804,vidigalense,SEBASTI&Atilde;O FELISBERTO FERNANDES,180.569,4860,23.17,96.6,723,45.45,1.900.498.059,1.522.179.347,16095.70
Gavi&atilde;o Peixoto,3516853,gavionense,ADRIANO MAR&Ccedil;AL DA SILVA,243.766,4815,18.13,98.7,719,14.49,4.596.625.853,3.704.895.802,186287.72
General Salgado,3516903,salgadense,MAURO GILBERTO FANTINI,494.376,10862,21.63,98.5,747,8.20,4.254.083.689,4.419.869.202,22848.77
Getulina,3517000,getulinense,ANT&Ocirc;NIO CARLOS MAIA FERREIRA,676.755,11447,15.86,99.4,717,10.00,3.178.407.308,2.748.055.568,16284.53
Glic&eacute;rio,3517109,glicerense,ILDO DE SOUZA,272.800,4829,16.69,98.5,735,15.38,2.145.050.411,1.852.322.084,21142.62
Guai&ccedil;ara,3517208,guai&ccedil;arense,BRUNO FLORIANO DE OLIVEIRA,277.154,12294,39.35,98.4,739,12.50,3.494.899.189,2.977.761.906,16298.89
Guaimb&ecirc;,3517307,guaimbeense,MARCIA HELENA PEREIRA CABRAL ACHILLES,217.811,5785,24.88,99,728,11.24,2.382.410.387,1.931.637.921,13163.82
Gua&iacute;ra,3517406,guairense,JOSE EDUARDO COSCRATO LELIS,1.258.465,41040,29.72,97.8,753,6.26,18.441.125.061,15.656.554.772,80169.84
Guapia&ccedil;u,3517505,guapia&ccedil;uense,JEAN CARLOS VETORASSO,325.126,21775,55.00,98,725,4.17,7.741.071.367,6.187.292.947,26008.59
Guapiara,3517604,guapiense,JOS&Eacute; MATHEUS RODOLFO DE FREITAS,408.292,17025,44.08,96.7,675,36.76,5.017.288.751,4.456.750.092,18874.32
Guar&aacute;,3517703,guaraense,VINICIUS MAGNO FILGUEIRA,362.183,21308,54.78,98,718,4.17,6.488.221.666,5.490.499.999,20804.61
Guara&ccedil;a&iacute;,3517802,guara&ccedil;aiense,AIRTON JOSE GOMES,569.197,8290,14.80,98,719,42.25,3.011.064.922,2.590.289.786,32770.40
Guaraci,3517901,guaraciense,RENATO AZEDA RIBEIRO DE AGUIAR,641.501,11287,15.55,97,737,16.26,5.247.347.949,4.717.214.591,29683.17
Guarani d'Oeste,3518008,guaraniense,NILSON TIMPORIM CAFFER,85.700,1998,23.03,95.6,732,50.00,1.514.701.797,1.161.059.837,17755.48
Guarant&atilde;,3518107,guarant&atilde;ense,MARCOS ROBERTO FRUGERI,461.746,6675,13.89,98.9,713,44.12,2.315.279.477,1.891.666.553,26176.16
Guararapes,3518206,guararapense,TAREK DARGHAM,955.637,33100,31.99,99.6,763,10.81,9.365.117.078,8.691.560.146,27764.52
Guararema,3518305,guararemense,JOS&Eacute; LUIZ EROLES FREIRE,270.816,30136,95.43,97.3,731,9.85,16.535.838.094,16.131.960.779,47997.77
Guaratinguet&aacute;,3518404,guaratinguetaense,MARCUS AUGUSTIN SOLIVA,752.636,122505,148.91,97.8,798,13.79,31.463.314.171,30.489.553.466,46849.29
Guare&iacute;,3518503,guareiense,JOS&Eacute; AMADEU DE BARROS,567.884,18887,25.72,96.3,687,6.58,4.359.084.558,3.644.106.027,12279.22
Guariba,3518602,guaribense,CELSO ANTONIO ROMANO,270.289,40487,131.29,97.3,719,9.96,11.224.984.688,9.482.885.351,22657.16
Guaruj&aacute;,3518701,guarujaense,VALTER SUMAN,144.794,322750,2026.80,95.9,751,18.51,134.917.976.078,115.355.418.582,27031.81
Guarulhos,3518800,guarulhense,GUSTAVO HENRIC COSTA,318.675,1392121,3834.51,97.1,763,11.59,418.949.067.768,398.543.868.069,44897.70
Guatapar&aacute;,3518859,guataparaense,JURACY COSTA DA SILVA,413.567,7709,16.84,99.1,743,18.18,322.706.323,2.667.109.258,28000.56
Guzol&acirc;ndia,3518909,guzolandense,MARCIO LUIS CARDOSO,252.477,5307,18.86,85.3,697,16.13,209.360.177,1.760.196.305,12594.84
Hercul&acirc;ndia,3519006,herculandense,PAULO SERGIO DE OLIVEIRA,364.252,9588,23.85,98.4,727,9.71,2.629.134.958,22.891.195,33182.41
Holambra,3519055,holambrense,FERNANDO HENRIQUE CAPATO,65.577,15272,172.30,98.8,793,4.67,7.748.637.455,6.793.448.903,66537.66
Hortol&acirc;ndia,3519071,hortolandense,ANGELO AUGUSTO PERUGINI,62.416,234259,3094.16,97.5,756,08.08,78.015.007.223,67.418.619.628,57691.75
Iacanga,3519105,iacanguense,ELI DONISETI CARDOSO,547.393,11858,18.29,96.7,745,7.63,4.846.183.495,412.838.993,37023.57
Iacri,3519204,iacriano,CARLOS ALBERTO FREIRE,321.948,6295,19.90,99.4,733,17.86,2.029.312.789,1.717.247.081,30157.75
Iaras,3519253,iarense,MARCOS JOS&Eacute; ROSA,401.381,9517,15.89,98.5,674,54.05,2.689.817.696,2.349.336.282,17031.66
Ibat&eacute;,3519303,ibateense,JOS&Eacute; LUIZ PARELLA,290.978,35472,105.74,97.6,703,3.98,9.097.969.721,8.251.537.296,24454.14
Ibir&aacute;,3519402,ibiraense,EDVARD ALBERTO COLOMBO,271.912,12518,40.07,98.4,740,13.70,4.085.864.405,3.714.219.875,20475.08
Ibirarema,3519501,ibiraremense,JOSE BENEDITO CAMACHO,228.230,7841,29.45,97.4,708,29.85,2.743.690.193,2.389.156.961,23951.10
Ibitinga,3519600,ibitinguense,CRISTINA MARIA KALIL ARANTES,689.391,60600,77.12,95.8,747,13.48,14.537.647.271,13.435.173.134,25630.47
Ibi&uacute;na,3519709,ibiunense,PAULO KENJI SASAKI,1.058.082,79479,67.31,95.8,710,12.74,19.957.319.264,1.840.892.641,21746.50
Ic&eacute;m,3519808,icense,OSCAR LUIZ CORREA CUNHA,362.355,8304,20.58,98.5,720,27.27,3.597.486.526,3.359.575.417,21243.20
Iep&ecirc;,3519907,iepense,MURILO NOBREGA CAMPOS,594.974,8194,12.81,97.9,736,19.42,3.490.548.075,301.662.191,30435.64
Igara&ccedil;u do Tiet&ecirc;,3520004,iguara&ccedil;uense,RICARDO VERPA COSTA DA SILVA,97.747,24749,239.07,98.8,727,20.76,6.562.476.233,5.917.584.358,12335.36
Igarapava,3520103,igarapavense,JOSE RICARDO RODRIGUES MATTAR,468.355,30614,59.70,97.8,768,6.71,9.003.356.975,828.253.599,39002.62
Igarat&aacute;,3520202,igaratense,ELZO ELIAS DE OLIVEIRA SOUZA,292.953,9583,30.14,99.1,711,8.20,4.245.714.188,3.853.221.607,19049.08
Iguape,3520301,iguapense,WILSON ALMEIDA LIMA,1.978.795,30989,14.58,99.5,726,32.79,10.479.414.181,8.926.986.164,38078.83
Ilhabela,3520400,ilhabelense,ANTONIO LUIZ COLUCCI,346.389,35591,81.13,98.3,756,9.43,63.544.214.033,41.701.791.236,419457.22
Ilha Comprida,3520426,ilha compridense,GERALDINO BARBOSA DE OLIVEIRA JUNIOR,196.567,11362,47.01,98.2,725,6.29,9.386.135.487,9.302.952.622,122204.12
Ilha Solteira,3520442,ilhense,OT&Aacute;VIO AUGUSTO GIANTOMASSI GOMES,652.641,26788,38.42,99.3,812,14.04,12.947.589.823,11.143.211.982,23525.05
Indaiatuba,3520509,indaiatubano,NILSON ALCIDES GASPAR,311.545,256223,646.11,98.2,788,9.70,113.612.063.336,95.951.237.517,63166.46
Indiana,3520608,indianense,WHESLEN THIEGO SCAIONE CACHOEIRA,129.367,4879,38.11,98,761,18.18,167.016.143,1.567.878.153,13109.17
Indiapor&atilde;,3520707,indiapor&atilde;ense,ADERITO CAMARGO FERREIRA DA SILVA,279.606,3886,13.96,98.5,751,20.41,2.129.188.555,1.898.209.407,24449.85
In&uacute;bia Paulista,3520806,inubense,JO&Atilde;O SOARES DOS SANTOS,87.119,4019,41.53,98.3,759,-,1.647.358.183,1.435.947.921,34888.10
Ipaussu,3520905,ipau&ccedil;uense,SERGIO GALVANIN GUIDIO FILHO,209.554,15069,65.17,97.9,727,15.71,4.799.930.933,4.259.493.842,25086.47
Iper&oacute;,3521002,iperoense,LEONARDO ROBERTO FOLIM,170.289,37964,166.20,98.9,719,11.49,9.112.724.315,8.268.638.315,17873.00
Ipe&uacute;na,3521101,ipeunense,DIEGO HERON PINHEIRO,190.010,7687,31.66,98.8,753,9.62,3.081.347.041,2.638.376.638,94080.97
Ipigu&aacute;,3521150,ipiguaense,EFRAIM GARCIA LOPES,136.028,5476,32.89,98.5,730,20.00,2.299.658.464,1.814.167.521,20253.65
Iporanga,3521200,iporanguense,ALESSANDRO MENDES RODRIGUES,1.152.059,4199,3.73,97.3,703,17.54,2.221.541.828,1.938.515.534,12098.74
Ipu&atilde;,3521309,ipu&atilde;nense,RONYWERTON MARCELO ALVES PEREIRA,466.461,16604,30.37,98,749,10.53,5.987.328.611,5.448.504.373,22139.12
Iracem&aacute;polis,3521408,iracemapolense,NELITA CRISTINA MICHEL FRANCESCHINI,115.118,24614,173.99,95.7,776,8.62,7.895.661.562,7.610.780.334,83477.19
Irapu&atilde;,3521507,irapuense,RENI APARECIDA DA SILVA,257.612,8048,28.21,97.9,713,12.50,2.331.809.912,2.079.486.392,19748.75
Irapuru,3521606,irapuruense,ADEMAR CALEG&Atilde;O,214.461,8325,36.24,95.1,712,25.00,2.051.070.134,1.815.140.176,10659.85
Itaber&aacute;,3521705,itaberaense,ALEX ROG&Eacute;RIO CAMARGO DE LACERDA,1.100.247,17480,16.08,97.9,693,32.26,5.897.534.391,521.254.518,29569.70
Ita&iacute;,3521804,itaiense,JOSE RAMIRO ANTUNES DO PRADO,1.092.884,27382,22.17,97.9,713,03.03,9.993.716.476,7.614.201.532,22376.97
Itajobi,3521903,itajobiense,SIDIOMAR UJAQUE,502.066,15297,28.99,94.9,730,17.24,7.770.193.202,6.368.173.156,105038.02
Itaju,3522000,itajuense,JERRI DE SOUZA NEIVA,230.355,3887,14.12,98.7,705,31.25,1.853.345.513,1.572.953.704,23089.26
Itanha&eacute;m,3522109,itanhaense,TIAGO RODRIGUES CERVANTES,601.711,103102,144.69,97.5,745,7.20,3.990.053.954,3.783.863.151,18763.24
Itaoca,3522158,itaoquense,FREDERICO DIAS BATISTA,183.015,3330,17.64,98.8,680,47.62,1.731.847.582,1.617.857.517,12416.89
Itapecerica da Serra,3522208,itapecericano,FRANCISCO TADAO NAKANO,150.742,177662,1011.57,96.8,742,10.39,42.726.450.588,36.630.484.686,21079.61
Itapetininga,3522307,itapetingano,SIMONE APARECIDA CURRALADAS DOS SANTOS,1.789.350,165526,80.65,96.4,763,15.60,44.851.417.401,42.675.460.157,29304.81
Itapeva,3522406,itapevense,MARIO SERGIO TASSINARI,1.826.258,94804,48.05,98.4,732,08.01,32.434.223.975,26.397.264.795,26860.38
Itapevi,3522505,itapeviense,IGOR SOARES EBERT,82.658,240961,2428.88,96.5,735,11.69,7.169.989.369,53.397.066.809,51939.22
Itapira,3522604,itapirense,ANTONIO H&Eacute;LIO NICOLAI,518.416,75234,132.21,98,762,23.66,26.646.731.633,25.034.039.636,52565.34
Itapirapu&atilde; Paulista,3522653,itapirapu&atilde; paulistense,JULIO CESAR DO AMARAL,406.478,4268,9.55,99,661,30.30,2.017.010.041,158.424.124,9994.74
It&aacute;polis,3522703,itapolitano,VLADIMIR DO CARMO REGGIANI,996.747,43331,40.18,98.4,744,13.19,1.205.549.277,10.805.313.907,30504.92
Itaporanga,3522802,itaporanguense,DOUGLAS ROBERTO BENINI,507.997,15173,28.66,97.9,719,20.20,3.265.874.372,3.498.269.882,21229.91
Itapu&iacute;,3522901,itapuiense,ANTONIO &Aacute;LVARO DE SOUZA,140.023,14147,86.46,96.5,725,32.47,4.951.133.824,4.032.040.542,48103.23
Itapura,3523008,itapurense,FABIO DOURADO,301.653,4951,14.46,98,720,25.00,2.807.767.865,2.297.943.781,18828.79
Itaquaquecetuba,3523107,itaquaquecetubense,EDUARDO BOIGUES QUEROZ,82.622,375011,3895.24,96.4,714,12.92,62.816.767.634,57.377.286.888,19678.54
Itarar&eacute;,3523206,itarareense,HELITON SCHEIDT DO VALLE,1.003.860,50642,47.76,98,703,15.55,1.133.216.603,10.027.038.884,17452.03
Itariri,3523305,itaririense,DINAMERICO GON&Ccedil;ALVES PERONI,273.667,17598,56.53,96.4,677,12.82,395.446.352,3.488.620.054,15990.63
Itatiba,3523404,itatibense,THOMAS ANTONIO CAPELETTO DE OLIVEIRA,322.276,122581,314.90,97.8,778,8.54,37.305.157.991,36.819.590.964,50811.86
Itatinga,3523503,itatinguense,JO&Atilde;O BOSCO BORGES,979.817,20921,18.42,98,706,3.64,697.375.931,6.068.049.774,20051.45
Itirapina,3523602,itirapinense,MARIA DA GRA&Ccedil;A ZUCCHI MORAES,564.603,18387,27.49,97.8,724,11.70,6.987.511.967,6.336.974.657,22943.13
Itirapu&atilde;,3523701,itirapu&atilde;nense,GERSON LUIZ ALVES,161.118,6543,36.71,99.1,707,28.99,2.004.565.674,1.768.896.235,15275.66
Itobi,3523800,itobiano,JOAQUIM CANDIDO FILHO,138.986,7852,54.20,98.6,717,35.71,1.836.075.407,1.657.964.617,15939.55
Itu,3523909,ituano,GUILHERME DOS REIS GAZZOLA,640.719,175568,241.01,94.3,773,11.21,62.955.220.925,53.016.351.302,45461.13
Itupeva,3524006,itupevense,MARCO ANTONIO MARCHI,200.816,62813,223.38,97.4,762,16.53,25.624.178.846,22.537.151.487,112159.24
Ituverava,3524105,ituveravense,LUIZ ANTONIO DE ARAUJO,704.659,42045,54.87,97.9,765,6.24,15.038.299.356,13.606.657.043,36651.33
Jaborandi,3524204,jaborandiense,SILVIO VAZ DE ALMEIDA,273.438,6946,24.11,98.3,711,48.39,2.916.417.778,258.157.643,19946.28
Jaboticabal,3524303,jaboticabalense,EMERSON RODRIGO CAMARGO,706.602,77652,101.42,97.9,778,13.02,29.116.646.826,26.987.444.489,37818.06
Jacare&iacute;,3524402,jacareiense,IZAIAS JOS&Eacute; DE SANTANA,464.272,235416,454.94,98.3,777,11.05,91.515.368.112,79.561.947.276,54796.98
Jaci,3524501,jaciense,VALERIA PERPETUO GUIMARAES HENRIQUE,145.133,7196,38.87,97.7,723,11.49,2.817.756.046,2.316.848.995,56703.27
Jacupiranga,3524600,jacupiranguense,ROBERTO CARLOS GARCIA,704.189,17889,24.44,97.4,717,11.45,4.904.322.183,4.247.718.526,29728.97
Jaguari&uacute;na,3524709,jaguariunense,MARCIO GUSTAVO BERNARDES REIS,141.391,58722,313.37,98,784,8.75,38.062.436.296,30.243.147.496,205080.73
Jales,3524808,jalesense,LU&Iacute;S HENRIQUE DOS SANTOS MOREIRA,368.574,49201,127.57,98.9,776,9.69,14.529.883.935,13.560.682.028,31555.69
Jambeiro,3524907,jambeirense,CARLOS ALBERTO DE SOUZA,184.413,6717,29.01,97.7,756,59.70,3.179.023.821,2.767.064.067,36754.00
Jandira,3525003,jandirense,HENRI HAJIME SATO,17.449,126356,6207.76,96.9,760,11.67,5.287.534.693,23.598.583.921,32512.79
Jardin&oacute;polis,3525102,jardinopolense,PAULO JOS&Eacute; BRIGLIADORI,501.870,44970,74.99,97.1,735,14.52,12.958.375.955,12.044.774.933,25060.21
Jarinu,3525201,jarinuense,DEBORA CRISTINA DO PRADO BELINELLO,207.549,30617,114.85,98.2,733,6.33,11.167.299.696,10.796.003.669,85221.43
Ja&uacute;,3525300,jauense,JORGE IVAN CASSARO,687.103,151881,191.09,97.8,778,11.66,38.445.135.889,361304.59,31855.35
Jeriquara,3525409,jeriquarense,EDER LUIZ CARVALHO GON&Ccedil;ALVES,141.971,3151,22.26,98,703,20.83,1.785.398.056,1.576.701.664,26005.63
Joan&oacute;polis,3525508,joanopolitano,ADAUTO BATISTA DE OLIVEIRA,374.293,13338,31.44,95.8,699,7.25,3.922.168.807,3.582.519.274,16262.42
Jo&atilde;o Ramalho,3525607,ramalhense,ADELMO ALVES,415.452,4551,9.99,99.4,741,16.13,2.566.313.317,190.481.281,26890.88
Jos&eacute; Bonif&aacute;cio,3525706,bonifaciano,DILMO RESENDE DE CARVALHO,860.200,37366,38.10,99,777,4.26,10.331.853.105,8.504.946.331,36031.70
J&uacute;lio Mesquita,3525805,j&uacute;lio-mesquitense,TIRSO FERNANDES SOBREIRO JUNIOR,128.183,4800,34.55,97.7,716,34.48,1.801.777.347,1.629.430.831,10759.02
Jumirim,3525854,jumirense,DANIEL VIEIRA,56.685,3418,49.36,99.2,741,29.41,1.956.413.502,159.385.812,39671.59
Jundia&iacute;,3525904,jundiaiense,LUIZ FERNANDO ARANTES MACHADO,431.207,423006,858.42,98.2,822,10.55,211.146.692.963,185.620.008.543,105187.65
Junqueir&oacute;polis,3526001,junqueiropolense,OSMAR PINATTO,582.565,20831,32.12,96.8,745,8.55,674.893.831,6.010.534.605,28071.57
Juqui&aacute;,3526100,juquiaense,GILBERTO TADASHI MATSUSUE,812.799,18718,23.68,97.7,700,17.99,5.199.046.401,4.332.419.616,17394.70
Juquitiba,3526209,juquitibense,AYRES SCORSATTO,522.169,31646,55.03,98.5,709,4.42,7.948.651.362,7.319.019.701,16452.82
Lagoinha,3526308,lagoinhense,TIAGO MAGNO DE OLIVEIRA,255.472,4889,18.95,99,693,40.00,1.865.463.669,1.538.531.473,11542.06
Laranjal Paulista,3526407,laranjalense,ALCIDES DE MOURA CAMPOS JUNIOR,384.274,28785,65.75,98.1,729,09.04,8.743.974.193,8.013.234.929,39397.31
Lav&iacute;nia,3526506,lavinense,SALVADOR CAZUO MATSUNAKA,537.675,12285,16.33,98.6,721,14.49,4.012.356.455,3.192.057.164,13500.89
Lavrinhas,3526605,lavrinhense,JOSE BENEDITO DA SILVA,167.067,7311,39.45,98.5,729,30.93,2.338.876.075,2.142.597.988,15256.91
Leme,3526704,lemense,WAGNER RICARDO ANTUNES FILHO,402.871,104346,227.75,97.7,744,09.07,32.160.355.201,28.262.706.268,31320.57
Len&ccedil;&oacute;is Paulista,3526803,len&ccedil;oiense,ANDERSON PRADO DE LIMA,809.541,68990,75.88,99,764,5.81,27.742.736.276,2.092.687.412,38890.38
Limeira,3526902,limeirense,MARIO CELSO BOTION,580.711,308482,475.32,97.7,775,08.01,103.081.594.674,9.005.214.526,43440.26
Lind&oacute;ia,3527009,lindoiano,LUCIANO FRANCISCO DE GODOI LOPES,48.756,8092,137.67,97.4,742,28.57,3.291.982.535,3.062.069.173,23184.72
Lins,3527108,linense,JO&Atilde;O LUIS LOPES PANDOLFI,570.058,78503,124.98,98.4,786,10.66,20.452.651.546,1.828.737.478,48837.12
Lorena,3527207,lorenense,SYLVIO BALLERINI,414.160,89125,199.29,97.2,766,7.92,20.344.338.155,18.799.075.789,32021.36
Lourdes,3527256,lourdense,ODECIO RODRIGUES DA SILVA,113.940,2300,18.71,98.4,742,90.91,1.417.437.069,1.204.396.269,17580.34
Louveira,3527306,louveirense,ESTANISLAU STECK,55.133,49993,673.37,97.3,777,15.04,47.467.611.413,38.352.537.831,229610.70
Luc&eacute;lia,3527405,luceliense,TATIANA GUILHERMINO TAZINAZZIO COELHO COSTA,314.810,21886,63.17,99.4,752,5.85,5.448.253.775,4.459.398.147,20420.77
Lucian&oacute;polis,3527504,lucianopolense,HUMBERTO ZANINOTO MALDONADO,189.536,2403,11.85,99.1,733,35.71,1.610.681.847,1.290.607.153,23901.68
Lu&iacute;s Ant&ocirc;nio,3527603,lu&iacute;s-antoniense,RODRIGO MELLO MARQUES,598.257,15292,18.85,99.4,731,26.60,7.240.055.207,6.072.143.339,103433.56
Luizi&acirc;nia,3527702,luiziano,ROG&Eacute;LIO CERVIGNE BARRETO,166.576,5855,30.20,92.8,702,17.54,1.762.860.665,15.679.586,12536.56
Lup&eacute;rcio,3527801,lupercense,CLEBER MENEGUCCI,155.171,4596,28.18,94.5,724,45.45,1.716.649.454,1.609.420.027,16923.63
Lut&eacute;cia,3527900,luteciano,LAUDEMIR LEATI,475.226,2636,5.71,93.7,720,23.26,1.760.381.229,1.480.229.419,32018.34
Macatuba,3528007,macatubense,ANDERSON FERREIRA,224.514,17214,72.19,99.3,770,15.63,7.410.733.272,6.245.457.101,36723.03
Macaubal,3528106,macaubalense,ACACIO TARDOQUE FERREIRA,248.087,8147,30.88,97.9,743,22.22,2.436.314.069,2.143.826.452,19121.48
Maced&ocirc;nia,3528205,macedoniense,REGINALDO ELOY MARCOMINI DOS REIS,327.567,3692,11.18,99.3,740,41.67,2.129.758.123,1.845.217.525,21212.83
Magda,3528304,magdense,ALEXANDRE PAIVA BATELLO,312.282,3102,10.27,96.5,753,31.25,2.350.351.894,2.081.579.342,29834.29
Mairinque,3528403,mairinquense,ANTONIO ALEXANDRE GEMENTE,210.149,47441,205.53,96.9,743,11.90,15.173.980.604,15.435.679.392,40484.94
Mairipor&atilde;,3528502,mairiporense,WALID ALI HAMID,320.697,101937,252.44,98.1,788,8.77,25.628.170.262,21.709.097.814,17774.55
Manduri,3528601,mandurinense,JOS&Eacute; ONIVALDO JUSTI,229.046,9910,39.26,98.9,739,9.17,2.721.750.205,2.411.031.096,23378.18
Marab&aacute; Paulista,3528700,marabaense,APARECIDO NASCIMENTO SOBRAL,919.519,5948,5.24,99,677,52.63,2.151.332.058,1.885.370.276,17644.51
