S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Maraca&iacute;,3528809,maracaiense,PAULO EDUARDO DA SILVA,533.498,14036,24.97,98.3,771,18.87,4.888.369.285,4.304.932.467,29529.19
Marapoama,3528858,marapoamense,MARCIO PERPETUO AUGUSTO,111.267,3064,23.66,99.4,752,30.30,1.919.959.903,1.547.483.459,59882.84
Mari&aacute;polis,3528908,mariapolense,RICARDO MITSURO WATANABE,186.544,4091,21.07,97.5,718,26.32,1.532.524.935,1.339.774.638,13926.03
Mar&iacute;lia,3529005,mariliense,DANIEL ALONSO,1.170.515,240590,185.21,97.8,798,9.55,84.136.805.861,78.334.044.246,34083.86
Marin&oacute;polis,3529104,marinopolense,EVALDO RIBEIRO,77.827,2106,27.15,97.6,731,41.67,1.517.134.577,119.916.459,16405.82
Martin&oacute;polis,3529203,martinopolense,MARCO ANTONIO JACOMELI DE FREITA,1.253.564,26628,19.33,98.1,721,18.52,7.683.715.949,6.977.048.191,18871.02
Mat&atilde;o,3529302,matonense,ADAUTO APARECIDO SCARDOELLI,524.899,83626,146.30,97.7,773,7.90,23.777.017.797,22.280.023.445,50228.39
Mau&aacute;,3529401,mauaense,FRANCISCO MARCELO DE OLIVEIRA,61.909,477552,6741.41,97.4,766,09.08,98.041.920.244,91.100.489.057,32655.23
Mendon&ccedil;a,3529500,mendoncino,ANTONINO CAETANO DE SOUZA,195.151,5565,23.79,98.1,744,15.15,2.846.222.507,2.655.865.451,43139.21
Meridiano,3529609,meridianense,MARCIA CRISTINA ADRIANO DE LIMA,228.199,3824,16.82,98.5,731,20.00,253.736.573,2.183.625.388,62670.64
Mes&oacute;polis,3529658,mesopolense,JOSE CARLOS DA SILVA,148.636,1905,12.67,100,724,38.46,1.766.180.335,1.484.939.683,30784.46
Miguel&oacute;polis,3529708,miguelopense,NAIM MIGUEL NETO,820.849,22355,24.88,98.6,741,7.43,8.664.989.567,7.558.194.914,45954.52
Mineiros do Tiet&ecirc;,3529807,mineirense,JOS&Eacute; CARLOS VENDRAMINI,213.242,12966,56.45,98.3,730,22.39,3.302.169.165,3.057.789.194,13408.67
Miracatu,3529906,miracatuense,VIN&Iacute;CIUS BRAND&Atilde;O DE QUEIR&Oacute;Z,1.001.484,19643,20.56,97.1,697,30.10,6.810.483.521,6.391.542.351,19706.50
Mira Estrela,3530003,mira-estrelense,PRISCILLA FERNANDA COBACHO DO PRADO,216.825,3106,13.01,97.2,743,41.67,2.336.099.888,1.848.832.167,21664.95
Mirand&oacute;polis,3530102,mirandopolense,EVERTON LUIZ FERNANDES SODARIO RAIMUNDO,917.694,29706,29.91,97.9,751,7.43,8.771.076.706,7.172.071.888,22230.68
Mirante do Paranapanema,3530201,mirantense,&Aacute;TILA RAMIRO MENEZES DOURADO,1.238.931,18338,13.77,98.8,724,16.67,6.654.421.737,5.383.925.176,19027.18
Mirassol,3530300,mirassolense,EDSON ANTONIO ERMENEGILDO,243.228,60303,221.10,93.5,762,6.93,16.345.862.973,15.043.915.365,30509.55
Mirassol&acirc;ndia,3530409,mirassolandense,CELIA APARECIDA FIAMENGHI DOS SANTOS MATOS,166.125,4919,25.85,96.9,738,18.87,1.691.501.936,1.506.145.421,26663.98
Mococa,3530508,mocoquense,EDUARDO RIBEIRO BARISON,855.156,68980,77.55,98.9,762,11.18,18.320.242.222,17.833.489.411,30828.27
Mogi das Cruzes,3530607,mogiano,CAIO C&Eacute;SAR MACHADO DA CUNHA,712.541,450785,544.12,97.7,783,9.46,149.600.406.203,145.029.140.855,34908.31
Mogi Gua&ccedil;u,3530706,gua&ccedil;uano,RODRIGO FALSETTI,812.753,153033,168.99,97.9,774,11.17,50.819.349.579,45.503.822.182,38971.42
Mogi Mirim,3530805,mogi-miriano,PAULO DE OLIVEIRA E SILVA,497.708,93650,173.77,97.4,784,10.47,36.265.543.793,3.334.253.257,49631.35
Mombuca,3530904,mombucano,ROGERIO APARECIDO ALCALDE,133.698,3508,24.43,97.8,719,40.82,1.918.351.657,1.545.833.643,28783.85
Mon&ccedil;&otilde;es,3531001,mon&ccedil;olense,VALTOLINO VALDIR MARIA ALVES,104.352,2267,20.45,100,772,38.46,2.314.005.603,1.787.497.115,26531.11
Mongagu&aacute;,3531100,mongaguano,M&Aacute;RCIO MELO GOMES,143.205,57648,326.00,98.3,754,23.91,2.115.568.439,18.652.560.825,18581.77
Monte Alegre do Sul,3531209,monte-alegrense,EDSON RODRIGO DE OLIVEIRA CUNHA,110.308,8111,64.84,98.3,759,24.69,2.745.117.338,2.488.221.637,22391.71
Monte Alto,3531308,monte-altense,MARIA HELENA AGUIAR RETTONDINI,346.950,50772,134.61,98.6,768,18.40,13.638.482.479,12.276.062.639,35901.30
Monte Apraz&iacute;vel,3531407,monte-aprazivelense,MARCIO LUIZ MIGUEL,495.559,25373,43.76,98.8,785,4.39,6.652.395.899,5.984.847.029,26584.41
Monte Azul Paulista,3531506,monte-azulense,MARCELO OTAVIANO DOS SANTOS,263.462,18968,71.86,98.6,753,8.70,7.092.569.797,6.687.012.515,28033.28
Monte Castelo,3531605,monte-castelense,EDSON CARLOS OLIVEIRA DA SILVA,233.547,4166,17.47,98.2,741,25.64,2.257.216.981,1.806.772.349,24706.74
Monteiro Lobato,3531704,lobatense,EDMAR JOS&Eacute; DE ARA&Uacute;JO,332.742,4696,12.38,96.5,710,54.55,184.871.924,1.522.656.083,14173.68
Monte Mor,3531803,monte-morense,EDIVALDO ANT&Ocirc;NIO BRISCHI,240.566,60754,203.61,97.2,733,12.96,2.082.863.551,18.879.801.223,59311.32
Morro Agudo,3531902,morro-agudense,VINICIUS CRUZ DE CASTRO,1.388.127,33288,20.97,95.9,712,08.02,13.162.599.598,11.838.303.824,36037.10
Morungaba,3532009,morungabense,MARCO ANTONIO DE OLIVEIRA,146.752,13781,80.20,97.4,715,13.16,4.261.722.848,3.602.519.595,33875.48
Motuca,3532058,motuquense,JO&Atilde;O RICARDO FASCINELI,228.700,4795,18.76,95.4,741,29.41,2.008.685.249,1.660.073.756,17286.33
Murutinga do Sul,3532108,murutinguense,CRISTIANO ELEUTERIO SOARES DA SILVA,250.873,4506,16.69,96.4,726,22.73,1.919.117.473,1.725.901.202,14623.62
Nantes,3532157,nantense,AURELIO PEREIRA DOS SANTOS,286.647,3179,9.46,98.7,714,20.41,1.881.141.613,1.773.556.037,38493.27
Narandiba,3532207,narandibense,ITAMAR DOS SANTOS SILVA,357.325,4904,11.98,98.9,718,12.50,2.996.819.232,2.584.400.546,38665.32
Natividade da Serra,3532306,nativense,EVAIL AUGUSTO DOS SANTOS,833.372,6642,08.01,98.8,655,12.20,271.847.205,2.380.902.274,10848.03
Nazar&eacute; Paulista,3532405,nazareano,CANDIDO MURILO PINHEIRO RAMOS,326.254,18698,50.31,96.9,678,9.30,5.714.066.224,5.296.456.192,18651.19
Neves Paulista,3532504,nevense,MARCIO ROGERIO RODRIGUES DOS SANTOS,219.050,8923,40.18,99.7,754,32.61,3.004.925.058,2.578.179.133,23770.60
Nhandeara,3532603,nhandearense,JOS&Eacute; ADALTO BORINI,436.159,11527,24.61,97.7,751,9.71,3.595.677.035,3.142.929.041,28388.63
Nipo&atilde;,3532702,nipoense,JOS&Eacute; PEDRO RAMPIM,137.609,5298,31.01,99.2,713,13.51,1.810.542.821,156.470.168,18328.81
Nova Alian&ccedil;a,3532801,nova-aliancense,JURANDIR BARBOSA DE MORAIS,217.515,7068,27.11,99.2,738,22.47,2.610.339.249,2.226.994.351,25206.05
Nova Campina,3532827,nova campinense,JUCEMARA FORTES DO NASCIMENTO,385.375,9860,22.10,99.7,651,14.39,2.954.796.244,2.423.346.827,11418.51
Nova Cana&atilde; Paulista,3532843,novacanaense,THAIS CRISTINA COSTA MOREIRA,124.473,1852,16.99,98.8,715,50.00,1.572.342.712,1.257.109.646,20686.21
Nova Castilho,3532868,castilhense,LUCIO MAURO GARCIA,183.396,1278,6.14,100,756,76.92,1.587.904.919,1.311.345.443,32366.14
Nova Europa,3532900,nova-europense,LUIZ CARLOS DOS SANTOS,160.250,11355,58.00,100,765,8.33,3.723.712.013,3.164.312.851,25485.01
Nova Granada,3533007,granadense,TANIA LIANA TOLEDO YUGAR,531.796,21689,36.06,98.6,739,11.81,5.116.229.588,4.610.399.641,20378.67
Nova Guataporanga,3533106,guataporanguense,VAGNER ALVES DE LIMA,34.158,2325,63.81,99.3,726,166.67,1.711.304.869,125.989.717,13532.84
Nova Independ&ecirc;ncia,3533205,independentino,FERNANDO MACCHI SANTANA,265.029,4053,11.54,98,735,19.23,27.217.044,22.616.214,36380.10
Novais,3533254,novaense,PAULO CESAR DIAS PINHEIRO,117.772,5945,38.99,100,719,41.67,1.841.887.984,1.645.299.792,10196.95
Nova Luzit&acirc;nia,3533304,luzitaniense,MIGUEL JOS&Eacute; ARA&Uacute;JO JUNIOR,73.816,4160,46.46,98.6,743,32.26,1.853.740.846,1.476.697.035,12332.03
Nova Odessa,3533403,novaodessense,CLAUDIO JOSE SCHOODER,73.788,60956,689.48,98.4,791,10.85,18.377.799.214,15.954.846.645,59633.81
Novo Horizonte,3533502,novo-horizontino,FABIANO DE MELLO BELENTANI,931.743,41414,39.28,97.7,753,9.84,12.099.378.292,10.858.142.886,26915.60
Nuporanga,3533601,nuporanguense,DANIEL VIANA MELO,348.265,7478,19.57,97.8,746,24.39,388.826.448,3.400.459.141,70520.18
Ocau&ccedil;u,3533700,ocau&ccedil;uense,JO&Atilde;O BENEDITO COSTA E SILVA,301.036,4291,13.86,97.7,717,14.08,195.031.206,1.519.034.513,27040.70
&Oacute;leo,3533809,oleense,JORD&Atilde;O ANT&Ocirc;NIO VIDOTTO,198.938,2471,13.49,98.9,730,37.04,1.532.865.079,1.253.571.264,32970.07
Ol&iacute;mpia,3533908,olimpiense,FERNANDO AUGUSTO CUNHA,802.555,55130,62.32,97.4,773,14.95,23.651.737.307,19.287.692.923,37387.02
Onda Verde,3534005,onda-verdense,FABRICIO PIRES DE CARVALHO,242.946,4422,16.03,98.7,738,16.95,2.406.966.537,2.121.726.279,38174.26
Oriente,3534104,orientense,GERALDO MATHEUS MORIS,218.668,6542,27.89,97.2,770,13.33,1.924.227.146,1.691.737.038,15344.27
Orindi&uacute;va,3534203,orindiuvense,MIRELI CRISTINA LEITE RUVI&Eacute;RI MARTINS,247.378,7194,22.87,99.3,767,24.69,4.016.358.444,3.371.930.236,58280.24
Orl&acirc;ndia,3534302,orlandino,SERGIO AUGUSTO BORDIN JUNIOR,291.765,44360,136.34,98.3,780,4.26,17.394.185.908,13.741.076.196,42003.28
Osasco,3534401,osasquense,ROGERIO LINS WANDERLEY,64.954,699944,10264.80,96,776,11.79,221.619.155.475,2.035.375.238,109936.21
Oscar Bressane,3534500,bressanense,LUIZ ANTONIO ROMANO,222.130,2603,11.46,96.7,749,43.48,1.627.763.983,1.412.958.953,34900.31
Osvaldo Cruz,3534609,osvaldo-cruzense,VERA LUCIA ALVES,248.038,33000,124.47,97.6,762,12.20,824.326.617,705.011.321,25930.54
Ourinhos,3534708,ourinhense,LUCAS POCAY ALVES DA SILVA,295.818,114352,347.78,98.2,778,5.91,2.968.932.577,25.548.507.149,27232.54
Ouroeste,3534757,ouroestense,ALEX GARCIA SAKATA,288.648,10539,29.10,99.7,770,8.40,7.818.363.605,6.053.381.886,41425.64
Ouro Verde,3534807,ouro-verdense,CLAUDINEI DOS SANTOS,266.778,8620,29.15,97.3,692,10.20,2.526.211.619,2.278.532.283,13210.54
Pacaembu,3534906,pacaembuense,JOAO FRANCISCO MUGNAI NEVES,339.375,14263,39.07,98.9,725,18.52,4.186.300.654,3.782.193.239,21542.47
Palestina,3535002,palestinense,REINALDO APARECIDO DA CUNHA,697.701,13123,15.89,96.6,732,7.14,4.182.613.912,3.592.185.359,23871.29
Palmares Paulista,3535101,palmarense,LUCAS APARECIDO DA ASSUM&Ccedil;&Atilde;O,82.125,13486,133.14,98.2,722,14.29,2.822.215.482,2.482.058.274,9376.19
Palmeira d'Oeste,3535200,palmeirense,REINALDO SAVAZI,318.740,9227,30.02,98.5,753,11.49,2.782.846.216,2.393.515.202,20086.66
Palmital,3535309,palmitalense,LUIS GUSTAVO MENDES MORAES,548.407,22272,38.67,97.2,746,19.16,8.232.960.384,7.059.461.925,30936.78
Panorama,3535408,panoramense,CARLOS HIROCI OUTI,356.050,15862,40.93,95.8,722,17.86,4.439.146.296,4.226.469.893,16827.13
Paragua&ccedil;u Paulista,3535507,paragua&ccedil;uense,ANTONIO TAKASHI SASADA,1.001.492,45945,42.22,99.4,762,13.49,15.432.725.499,13.927.728.116,33792.38
Paraibuna,3535606,paraibunense,VICTOR DE CASSIO MIRANDA,809.576,18263,21.48,97.2,719,4.72,6.668.602.864,5.615.149.568,15336.37
Para&iacute;so,3535705,paraisense,WALDOMIRO ANTONIO SGOBI,155.186,6496,37.85,99.1,749,12.82,3.197.366.678,2.523.523.892,34584.67
Paranapanema,3535804,paranapanemense,RODOLFO HESSEL FANGANIELLO,1.018.724,20395,17.48,98.1,717,6.45,9.227.042.715,8.276.108.345,31198.29
Paranapu&atilde;,3535903,paranapuense,DANIEL JUNIOR DURAN PINATTO,140.354,4095,27.16,98.4,732,14.93,1.955.104.085,1.507.136.206,27485.59
Parapu&atilde;,3536000,parapuense,GILMAR MARTIN MARTINS,366.664,10949,29.65,98.9,737,10.75,335.951.357,3.004.581.067,32118.91
Pardinho,3536109,pardinhense,JOSE LUIZ VIRGINIO DOS SANTOS,209.894,6508,26.59,98.3,727,37.38,3.364.232.737,2.880.340.729,47454.61
Pariquera-A&ccedil;u,3536208,pariquerense,WAGNER BENTO DA COSTA,359.414,19723,51.34,97.1,736,6.47,4.757.706.273,427.937.438,25926.61
Parisi,3536257,parasiano,OCLAIR BARAO BENTO,84.737,2169,24.04,99.6,721,51.28,1.767.099.827,1.466.202.813,31045.80
Patroc&iacute;nio Paulista,3536307,patrocinense,JOSE MAURO BARCELLOS,602.848,14807,21.56,97.8,730,19.51,6.047.920.741,4.691.510.802,60792.11
Paulic&eacute;ia,3536406,pauliceiense,ANTONIO SIMONATO,374.091,7454,16.97,94,711,8.55,3.238.808.958,2.994.355.696,20705.29
Paul&iacute;nia,3536505,paulinense,EDNILSON CAZELLATO,138.777,112003,592.17,97.9,795,6.12,148.923.868.636,118.481.035.885,306163.17
Paulist&acirc;nia,3536570,paulistaniense,PAULO AUGUSTO GRANCHI,256.178,1834,6.93,97.5,718,47.62,1.631.783.815,1.422.611.792,22430.93
Paulo de Faria,3536604,paulo-fariense,MARIO DE FELICIO NETO,737.986,8959,11.63,98.5,725,24.69,4.055.542.368,3.391.073.375,30110.56
Pederneiras,3536703,pederneirense,IVANA MARIA BERTOLINI CAMARINHA,727.482,47111,56.92,98.3,739,9.42,13.125.501.306,11.779.819.984,47430.98
Pedra Bela,3536802,pedra-belense,ALVARO JESIEL DE LIMA,158.587,6110,36.45,95.8,677,14.49,1.983.618.553,188.082.233,13782.13
Pedran&oacute;polis,3536901,pedranopolense,MARCOS ADRIANO DA SILVA,260.101,2481,9.83,100,742,34.48,2.116.627.033,1.580.577.599,25672.04
Pedregulho,3537008,pedregulhense,DIRCEU POLO FILHO,712.604,16811,22.03,98.4,715,4.63,5.204.867.802,443.100.593,52418.86
Pedreira,3537107,pedreirense,HAMILTON BERNARDES JUNIOR,108.817,48463,382.70,98.1,769,6.24,1.374.026.991,12.470.724.961,26471.59
Pedrinhas Paulista,3537156,pedrinhense,FREDDIE COSTA NICOLAU,152.309,3101,19.28,97.3,774,37.04,1.965.697.603,1.696.378.292,44364.89
Pedro de Toledo,3537206,toledense,ELEAZAR MUNIZ JUNIOR,670.440,11421,15.22,99.3,696,25.42,3.470.398.334,3.102.067.674,12787.40
Pen&aacute;polis,3537305,penapolitano,CARLOS HENRIQUE ROSSI CATALANI,711.315,63757,82.31,98.7,759,13.17,17.661.952.902,16.209.610.449,26395.81
Pereira Barreto,3537404,pereira-barretense,JO&Atilde;O DE ALTAYR DOMINGUES,974.247,25677,25.50,98.1,766,3.83,9.581.424.479,8.271.309.802,29553.41
Pereiras,3537503,pereirense,MIGUEL TOMAZELA,223.136,8773,33.38,96.8,736,19.05,2.705.368.325,2.347.577.323,23954.99
Peru&iacute;be,3537602,peruibense,LUIZ MAURICIO PASSOS DE CARVALHO PEREIRA,326.216,69001,184.40,98.6,749,17.26,24.730.703.255,22.494.907.246,22538.10
Piacatu,3537701,piacatuense,EUCLASIO GARRUTTI,232.488,6038,22.75,97.5,732,61.54,2.198.423.647,1.923.673.174,15498.37
Piedade,3537800,piedadense,GERALDO PINTO DE CAMARGO FILHO,746.868,55542,69.82,95.6,716,13.68,12.253.349.585,11.029.826.169,21916.31
Pilar do Sul,3537909,pilarense,MARCO AUR&Eacute;LIO SOARES,681.248,29402,38.77,93.8,690,18.04,7.353.353.137,6.526.658.378,23370.06
Pindamonhangaba,3538006,pindamonhangabense,ISAEL DOMINGUES,731.355,170132,201.39,98.2,773,13.84,4.372.657.743,3.985.650.337,51761.18
Pindorama,3538105,pindoramense,GERALDO FELIPPE JUNIOR,184.825,17216,81.37,97.5,737,6.29,4.675.149.637,4.131.001.861,22081.72
Pinhalzinho,3538204,pinhalzinhense,BENEDITO LAURO DE LIMA,154.529,15388,84.81,97.8,725,13.33,3.796.140.892,3.375.481.331,17475.49
Piquerobi,3538303,piquerobiense,ADRIANA CRIVELLI BIFFE,482.769,3699,7.33,99.4,711,52.63,1.903.692.464,1.569.345.974,15089.43
Piquete,3538501,piquetense,R&Ocirc;MULO KAZIMIERZ LUSZCZYNSKI,175.996,13575,80.16,98.8,757,19.48,297.223.304,2.543.765.315,11973.44
Piracaia,3538600,piracaiense,JOS&Eacute; SILVINO CINTRA,385.568,27462,65.15,98,739,2.74,8.166.970.253,7.059.298.437,17540.72
Piracicaba,3538709,piracicabano,LUCIANO SANTOS TAVARES DE ALMEIDA,1.378.069,407252,264.47,97.5,785,8.98,161.867.727.203,152.917.760.687,65896.34
Piraju,3538808,pirajuense,JOS&Eacute; MARIA COSTA,504.591,29869,56.44,98.3,758,7.81,8.801.455.865,8.033.940.458,24936.58
Piraju&iacute;,3538907,pirajuiense,CESAR HENRIQUE DA CUNHA FIALA,823.758,25719,27.55,97.3,749,14.65,6.479.156.603,5.550.857.773,18702.35
Pirangi,3539004,piranginense,ANGELA MARIA BUSNARDO,215.809,11471,49.30,97.8,756,15.50,3.535.515.179,2.958.445.405,29289.51
Pirapora do Bom Jesus,3539103,piraporense,DANY WILIAN FLORESTI,108.489,19178,144.98,97.5,727,15.09,5.801.785.572,538.756.971,24587.66
Pirapozinho,3539202,pirapozense,VALDIR ASSEF,477.673,27754,51.66,98.8,776,17.86,7.378.301.617,6.625.808.534,34839.45
Pirassununga,3539301,pirassununguense,MILTON DIMAS TADEU URBAN,727.118,76877,96.38,98.2,801,13.68,22.245.669.896,21.399.723.691,36765.67
Piratininga,3539400,piratiningano,JORGE LUIS DIAS,402.409,13765,30.00,98.4,779,11.30,4.592.428.939,3.660.663.632,17432.02
Pitangueiras,3539509,pitangueirense,MARCOS AUR&Eacute;LIO SORIANO,430.638,40080,81.99,99,723,8.42,11.885.489.297,10.347.789.997,27053.73
Planalto,3539608,planaltense,OLIMPIO SEVERINO DA SILVA,289.825,5304,15.38,99.2,719,33.90,2.693.760.005,2.254.537.217,30164.36
Platina,3539707,platinense,WAGNER ROBERTO DE LIMA,327.480,3578,9.77,98.5,719,21.74,1.877.785.413,1.615.193.922,26801.38
Po&aacute;,3539806,poaense,MARCIA TEIXEIRA BIN DE SOUZA,17.264,118349,6141.05,97.6,771,18.19,44.633.287.975,3.945.058.237,39992.89
Poloni,3539905,poloniense,WALDENOR MONTANARI JUNIOR,135.120,6113,40.40,99.5,766,14.49,255.094.264,194.140.428,21985.92
Pomp&eacute;ia,3540002,pompeiano,ISABEL CRISTINA ESCORCE JANU&Aacute;RIO,784.674,22172,25.46,98.6,786,19.23,877.315.226,7.394.540.026,56951.86
Ponga&iacute;,3540101,pongaiense,GILHIARD HENRIQUE DE BORTOLI,183.399,3400,18.99,97.4,755,33.33,17.231.881,1.546.844.883,23673.17
Pontal,3540200,pontalense,JOSE CARLOS NEVES SILVA,356.371,50852,112.94,94.5,725,5.36,9.177.976.343,9.150.481.147,23772.76
Pontalinda,3540259,pantalindense,SISINIO DE OLIVEIRA LEAO,209.525,4674,19.38,98.3,702,54.55,2.041.978.372,1.865.277.949,17009.93
Pontes Gestal,3540309,pontes-gestalense,ESMERALDO CRISTIANO CAROLINO,217.505,2577,11.58,97.8,732,29.41,258.332.794,2.241.752.102,60563.97
Populina,3540408,populinense,ADAUTO SEVERO PINTO,315.938,4152,13.37,99.6,714,25.00,2.391.386.681,2.175.022.199,22982.84
Porangaba,3540507,porangabense,JO&Atilde;O CARLOS ALVES BARROS,265.689,10067,31.34,94.7,703,20.20,2.694.034.188,2.403.870.298,18026.55
Porto Feliz,3540606,porto-felicense,ANTONIO C&Aacute;SSIO HABICE PRADO,556.706,53402,87.83,98.2,758,9.47,23.788.026.644,20.734.370.731,49253.38
Porto Ferreira,3540705,ferreirense,R&Ocirc;MULO LUIS DE LIMA RIPA,244.906,56504,209.88,98.1,751,5.36,1.845.406.666,15.862.332.425,36767.59
Potim,3540754,potinense,ERICA SOLER SANTOS DE OLIVEIRA,44.643,25130,436.20,99.3,697,23.81,4.464.605.728,4.049.958.409,9005.43
Potirendaba,3540804,potirendabano,GISLAINE MONTANARI FRANZOTTI,342.492,17516,45.12,98,747,4.61,6.269.658.066,5.652.412.938,29949.39
Pracinha,3540853,pracinhense,MAURILEI APARECIDO DIAS DA SILVA,63.054,4212,45.48,100,696,-,1.240.208.938,1.083.880.943,8256.98
Prad&oacute;polis,3540903,pradopolense,SILVIO MARTINS,167.378,21873,103.82,96.3,733,4.41,7.010.562.358,5.791.505.729,40977.09
Praia Grande,3541000,praia-grandense,RAQUEL AUXILIADORA CHINI,149.253,330845,1781.87,96.9,754,13.83,141.682.099.938,128.266.266.264,22064.57
Prat&acirc;nia,3541059,pratino,DAVI PIRES BATISTA,175.100,5317,26.26,97.7,701,14.71,2.063.681.564,1.842.579.704,25213.86
Presidente Alves,3541109,alvense,CRISTIANO DOS SANTOS,286.642,4080,14.36,98.9,735,16.13,1.640.363.642,1.399.772.865,17861.26
Presidente Bernardes,3541208,bernardense,REGINALDO LUIZ ERNESTO CARDILO,749.233,13023,18.12,98.5,757,30.30,4.462.155.147,3.935.506.732,20494.34
Presidente Epit&aacute;cio,3541307,epitaciano,CASSIA REGINA ZAFFANI FURLAN,1.260.281,44389,32.79,98.8,750,11.21,10.076.290.249,8.747.982.225,19364.06
Presidente Prudente,3541406,prudentino,EDSON TOMAZINI,560.637,230371,368.89,97.8,806,10.20,68.320.623.001,64.655.234.024,35207.07
Presidente Venceslau,3541505,venceslauense,BARBARA MEDEIROS VILCHES,755.203,39583,50.10,98.6,763,07.08,12.662.658.684,11.761.184.149,18163.42
Promiss&atilde;o,3541604,promissense,ARTUR MANOEL NOGUEIRA FRANCO,779.200,40828,45.78,96.7,743,16.55,11.500.584.254,9.670.177.294,40628.23
Quadra,3541653,quadrense,LHEONIDES DE OLIVEIRA ANDRADE,205.672,3854,15.73,98.3,678,19.23,2.091.741.061,1.842.621.274,26393.71
Quat&aacute;,3541703,quataense,MARCELO DE SOUZA PECCHIO,651.341,14210,19.68,98.7,738,6.71,4.997.477.317,4.418.177.808,32860.67
Queiroz,3541802,queirozense,WALTER RODRIGO DA SILVA,234.914,3460,12.01,98.1,715,19.61,221.859.865,1.908.298.897,97276.33
Queluz,3541901,queluzense,LAURINDO JOAQUIM DA SILVA GARCEZ,249.399,13606,45.27,98,722,09.01,3.862.304.826,3.367.443.423,25423.85
Quintana,3542008,quintanense,FERNANDO BRANCO NUNES,318.937,6688,18.79,98.1,732,23.53,2.596.538.474,2.232.100.397,26261.02
Rafard,3542107,rafardense,F&Aacute;BIO DOS SANTOS,121.645,9101,70.80,98.3,745,9.26,4.061.526.321,3.469.974.755,35586.08
Rancharia,3542206,ranchariense,MARCOS SLOBODTICOV,1.587.498,29726,18.14,97.5,751,22.96,9.794.357.859,8.519.820.751,37222.41
Reden&ccedil;&atilde;o da Serra,3542305,rendencense,JUCIMAR FERREIRA DA SILVA,309.441,3839,12.52,95.2,657,20.00,1.791.564.921,1.577.990.827,13767.32
Regente Feij&oacute;,3542404,regentense,ANDR&Eacute; MARCELO ZUQUERATO DOS SANTOS,263.280,20394,69.77,98.8,768,04.03,6.277.831.766,5.764.713.876,35313.43
Regin&oacute;polis,3542503,reginopolitano,CAROLINA ARA&Uacute;JO DE SOUSA VER&Iacute;SSIMO,410.406,9837,17.83,98.8,728,15.38,2.682.504.292,2.158.924.047,15428.57
Registro,3542602,registrense,NILTON JOSE HIROTA DA SILVA,722.201,56393,75.11,97.3,754,6.31,18.394.863.276,16.356.212.876,34962.27
Restinga,3542701,restinguense,KARLA MONTAGNINI FERRACIOLI,245.746,7679,26.80,98.6,705,17.54,2.776.477.117,2.447.316.489,22126.48
Ribeira,3542800,ribeirense,ARI DO CARMO SANTOS,335.759,3330,10.00,97,698,63.83,1.795.611.432,1.501.425.486,14361.28
Ribeir&atilde;o Bonito,3542909,ribeir&atilde;o-bonitense,ANTONIO CARLOS CAREGARO,471.553,13299,25.73,98.7,712,14.18,3.751.344.987,3.354.051.695,19500.82
Ribeir&atilde;o Branco,3543006,ribeir&atilde;o-branquense,MAURO JOSE TEIXEIRA,697.500,16211,26.19,97.5,639,33.71,4.631.757.908,3.896.385.758,17976.03
Ribeir&atilde;o Corrente,3543105,ribeir&atilde;o-correntense,ANA LOURINETE COSTA LOBO MONTANHER,148.332,4752,28.81,100,711,30.30,2.181.942.408,1.957.753.411,23548.05
Ribeir&atilde;o do Sul,3543204,ribeir&atilde;o-sulense,SALMA APARECIDA MEROTO BEFFA,203.208,4539,21.83,99,747,22.22,2.155.529.534,1.892.958.248,33392.70
Ribeir&atilde;o dos &Iacute;ndios,3543238,ribeirindio,JOSE AMAURI LENZONI,196.446,2224,11.14,98.6,721,45.45,1.603.101.851,1.254.409.571,16030.11
Ribeir&atilde;o Grande,3543253,ribeir&atilde;o grandense,MARCELO LUIS NUNES,333.363,7679,22.26,96.8,705,11.49,3.016.019.922,2.467.096.158,34793.11
