S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Ribeir&atilde;o Pires,3543303,ribeir&atilde;o-pirense,CLOVIS VOLPI,99.075,124159,1140.73,97.4,784,9.15,29.522.317.612,27.371.116.042,24818.57
Ribeir&atilde;o Preto,3543402,ribeir&atilde;o-pretano,ANTONIO DUARTE NOGUEIRA JUNIOR,650.916,711825,928.92,96.9,800,9.19,28.885.652.922,249.764.250.729,49425.29
Riversul,3543501,riversulense,JOSE GUILHERME GOMES,385.878,5443,15.96,95.9,664,15.87,18672.10,1.803.281.346,12349.69
Rifaina,3543600,rifainense,HUGO CESAR LOUREN&Ccedil;O,162.508,3640,21.14,99.2,740,23.26,336.170.077,2.780.257.514,33254.17
Rinc&atilde;o,3543709,rinconense,BRAZ RODRIGUES,316.639,10812,32.96,98.2,734,7.75,3.187.272.117,2.917.087.756,18176.48
Rin&oacute;polis,3543808,rinopolense,JOSE FERREIRA DE OLIVEIRA NETO,358.481,9961,27.73,98.6,723,28.57,2.917.265.856,2.576.917.976,25464.98
Rio Claro,3543907,rio-clarense,JOAO TEIXEIRA JUNIOR,498.422,208008,373.69,98.2,803,11.81,80.352.541.222,73.241.203.469,47851.56
Rio das Pedras,3544004,rio-pedrense,MARCOS BUZETTO,226.657,35738,130.16,98.4,759,5.15,10.240.719.133,9.462.713.742,40086.87
Rio Grande da Serra,3544103,riogranserrense ou  serrano ou riogransense,CLAUDIO MANOEL MELO,36.341,51436,1210.04,98.2,749,8.00,8.897.607.302,7.289.705.085,11282.40
Riol&acirc;ndia,3544202,riolandense,ANTONIO CARLOS SANTANA DA SILVA,631.897,12689,16.70,96.7,703,09.09,3.892.572.303,3.488.575.768,20423.64
Rosana,3544251,rosanense,SILVIO GABRIEL,744.011,16281,26.51,98.1,764,13.04,9.368.095.622,8.095.572.407,70267.57
Roseira,3544301,roseirense,FERNANDO AUGUSTO DE SIQUEIRA,129.847,10801,73.47,98.7,737,37.59,3.389.539.412,3.001.964.446,27647.35
Rubi&aacute;cea,3544400,rubiacense,JULIO CESAR FELISMINO,236.484,3162,11.52,99.5,721,28.57,167.063.947,1.322.927.953,20298.51
Rubin&eacute;ia,3544509,rubineiense,OSVALDO LUGATO FILHO,242.877,3170,11.78,100,759,43.48,2.553.942.748,2.009.432.874,24965.32
Sabino,3544608,sabinense,EDER RUIZ MAGALH&Atilde;ES DE ANDRADE,305.285,5614,16.78,97.2,728,17.86,2.438.155.714,2.100.327.135,21248.16
Sagres,3544707,sagrense,ROBERTO BATISTA PIRES,147.935,2430,16.20,99.2,730,38.46,140.088.457,115.076.192,15451.37
Sales,3544806,salense,JOSEMAR FRANCISCO DE ABREU,308.555,6407,17.67,100,751,17.24,3.263.757.083,2.715.044.214,22858.39
Sales Oliveira,3544905,salense,F&Aacute;BIO GODOY GRATON,305.776,11998,34.58,98.8,772,7.52,4.424.732.066,3.653.791.764,29378.39
Sales&oacute;polis,3545001,salesopolense,VANDERLON OLIVEIRA GOMES,424.997,17252,36.79,98.4,732,5.32,4.234.510.216,3.824.498.838,11899.42
Salmour&atilde;o,3545100,salmourense,JOS&Eacute; LUIZ ROCHA PERES,172.934,5337,27.96,98.3,719,27.03,1.637.061.593,145.034.334,13614.17
Saltinho,3545159,saltinhense,HELIO FRANZOL BERNARDINO,99.738,8393,70.78,96.8,791,21.51,2.867.208.886,2.464.291.731,30002.45
Salto,3545209,saltense,LAERTE SONSIN J&Uacute;NIOR,133.057,119736,792.13,98.4,780,7.73,35.424.464.005,3.222.559.574,62187.92
Salto de Pirapora,3545308,saltense,MATHEUS MARUM DE CAMPOS,280.509,45860,143.02,98.6,729,12.94,13.172.943.224,119.093.116,37530.47
Salto Grande,3545407,salto-grandense,MARIO LUCIANO ROSA,188.441,9364,46.64,96.5,704,9.17,2.997.147.426,2.633.254.072,23885.16
Sandovalina,3545506,sandovalino ou sandovalinense,FRANCISCO MENDES DA SILVA,455.856,4354,8.13,98.2,709,18.87,3.230.783.146,2.594.594.712,90156.11
Santa Ad&eacute;lia,3545605,santa-adeliense,GUILHERME COLOMBO DA SILVA,330.269,15561,43.32,100,760,10.93,4.550.482.836,4.128.203.322,19941.08
Santa Albertina,3545704,santa-albertinense,GERSON FORMIGONI JUNIOR,272.692,6022,20.98,98.8,728,46.15,2.880.462.392,2.566.663.718,30542.24
Santa B&aacute;rbara d'Oeste,3545803,barbarense,RAFAEL PIOVEZAN,271.030,194390,664.49,98.4,781,9.95,52.548.717.725,50.826.275.516,30798.27
Santa Branca,3546009,santa-branquense,ADRIANO MARCHESANI LEVORIN,272.238,14857,50.56,98.8,735,48.78,4.651.746.241,4.300.441.533,16610.52
Santa Clara d'Oeste,3546108,santa-clarense,JOSE BASILIO DE FARIA,183.458,2113,11.36,98.5,733,48.78,1.775.740.355,1.531.284.899,32177.82
Santa Cruz da Concei&ccedil;&atilde;o,3546207,santa-cruzense,CARLOS EDUARDO ARANHA DE ALBUQUERQUE,150.130,4544,26.66,99.6,790,30.30,2.327.435.012,2.175.271.564,27720.76
Santa Cruz da Esperan&ccedil;a,3546256,santacruzense,MARCOS ANTONIO BAZILIO,148.062,2153,13.19,86.2,743,66.67,1.577.904.758,1.468.003.002,24309.59
Santa Cruz das Palmeiras,3546306,palmeirense,JOS&Eacute; CRECENTINO BUSSAGLIA,295.337,34737,101.35,97.3,728,12.69,7.931.366.173,7.508.550.382,14724.73
Santa Cruz do Rio Pardo,3546405,santa-cruzense,DIEGO HENRIQUE SINGOLANI COSTA,1.114.747,47943,39.44,96.3,762,09.04,14.198.941.307,14.003.527.044,42906.75
Santa Ernestina,3546504,santa-ernestinense,MARCELO APARECIDO VERONEZI,134.421,5588,41.42,99.2,738,16.95,2.002.997.331,1.714.222.391,16537.75
Santa F&eacute; do Sul,3546603,santa-f&eacute;-sulense,EVANDRO FARIAS MURA,206.537,32563,141.81,97.9,784,6.90,15.634.819.314,14.327.066.428,33819.05
Santa Gertrudes,3546702,santa-gertrudense,LAZARO NOE DA SILVA,98.291,27381,220.10,98.3,737,3.16,10.594.838.071,9.570.211.402,67000.11
Santa Isabel,3546801,isabelense,CARLOS AUGUSTO CHINCHILLA ALFONZO,363.332,57966,138.87,97.8,738,9.75,15.136.275.039,13.902.052.821,27752.63
Santa L&uacute;cia,3546900,santa-luciense,LUIZ ANTONIO NOLI,153.860,8854,53.55,98.6,737,20.20,2.182.635.578,1.796.846.151,13080.61
Santa Maria da Serra,3547007,serrense,JOSIAS ZANI NETO,252.621,6236,21.43,97.5,686,12.35,2.280.466.772,1.858.887.639,21876.38
Santa Mercedes,3547106,mercedense,VALDIR VERONA,166.753,2943,16.96,98.8,739,27.03,151.618.698,1.355.866.328,22641.73
Santana da Ponte Pensa,3547205,santanense-da-ponte-pensa,VAGNER HERNANDES,129.888,1467,12.60,100,773,111.11,1.396.835.312,1.113.800.382,23521.23
Santana de Parna&iacute;ba,3547304,parnaibano,ANTONIO MARCOS BATISTA PEREIRA,179.949,142301,604.74,97.3,814,8.32,92.358.145.122,6.943.226.095,67650.64
Santa Rita d'Oeste,3547403,santa-ritense,OSMAR SAMPAIO,209.800,2487,12.10,100,761,52.63,1.938.620.853,1.555.707.891,25305.72
Santa Rita do Passa Quatro,3547502,santa-ritense,MARCELO SIM&Atilde;O,754.141,27600,35.11,97.8,775,20.16,8.090.227.423,7.946.384.533,24132.89
Santa Rosa de Viterbo,3547601,santa-rosense,OMAR NAGIB MOUSSA,288.576,26753,82.69,97.9,770,8.20,6.860.156.295,6.103.555.143,26438.67
Santa Salete,3547650,saletense,JEDER FABIANO SANTIAGO SOUZA,79.192,1552,18.23,100,772,-,1.476.464.508,1.288.079.665,23375.01
Santo Anast&aacute;cio,3547700,anastaciano,JOS&Eacute; BONILHA SANCHES,552.876,20866,37.06,98.5,753,22.83,7.860.016.808,4.406.392.075,19766.77
Santo Andr&eacute;,3547809,andreense,PAULO HENRIQUE PINTO SERRA,175.782,721368,3848.01,97.4,815,7.59,249.358.887.628,230.185.231.093,40489.21
Santo Ant&ocirc;nio da Alegria,3547908,alegriense,RICARDO DA SILVA SOBRINHO,310.311,6977,20.32,97.5,702,25.64,2.507.804.394,2.201.369.989,18953.27
Santo Ant&ocirc;nio de Posse,3548005,possense,JO&Atilde;O LEANDRO LOLLI,154.133,23529,134.09,97.3,702,15.27,9.944.130.049,7.699.472.169,48880.01
Santo Ant&ocirc;nio do Aracangu&aacute;,3548054,aracanguaense,ROBERTO DON&Aacute;,1.308.432,8481,5.83,98.9,757,29.13,4.658.621.956,4.116.792.738,24823.67
Santo Ant&ocirc;nio do Jardim,3548104,jardinense,GILMAR DE OLIVEIRA PEZOTTI,109.956,5940,54.05,97,714,39.22,2.080.541.817,1.622.615.253,25307.38
Santo Ant&ocirc;nio do Pinhal,3548203,pinhalense,ANDERSON JOS&Eacute; MENDON&Ccedil;A,133.008,6827,48.76,98.3,706,21.51,2.608.665.888,2.484.380.549,16258.73
Santo Expedito,3548302,expeditense,ANDERSON JOS&Eacute; BETIO,94.465,3135,29.68,99.1,732,30.30,1.375.890.394,116.784.444,12372.99
Sant&oacute;polis do Aguape&iacute;,3548401,santopolitano,HAROLDO ALVES PIO,128.026,4817,33.44,98.6,740,16.95,1.761.005.984,1.449.899.071,14856.83
Santos,3548500,santista,PAULO ALEXANDRE PEREIRA BARBOSA,281.033,433656,1494.26,98.2,840,09.02,263.995.907.834,2.489.780.313,51915.03
S&atilde;o Bento do Sapuca&iacute;,3548609,s&atilde;o-bentista,ANA CATARINA MARTINS BONASSI,252.579,10893,41.37,98.5,720,8.20,3.385.689.703,2.964.338.366,18725.82
S&atilde;o Bernardo do Campo,3548708,s&atilde;o-bernardense,ORLANDO MORANDO JUNIOR,409.532,844483,1869.36,97.6,805,9.29,396.269.435.675,357.482.853.686,60689.23
S&atilde;o Caetano do Sul,3548807,sul-caetanense,JOSE AURICCHIO JUNIOR,15.331,161957,9736.03,97.4,862,6.54,133.280.760.882,115.817.091.112,83860.42
S&atilde;o Carlos,3548906,s&atilde;o-carlense,AIRTON GARCIA FERREIRA,1.136.907,254484,195.15,97.9,805,7.74,78.815.606.987,71.903.629.493,44796.83
S&atilde;o Francisco,3549003,s&atilde;o-francisquense,SEBASTI&Atilde;O DE OLIVEIRA BAPTISTA,75.579,2817,36.94,100,723,51.28,1.608.389.271,1.437.734.253,16925.04
S&atilde;o Jo&atilde;o da Boa Vista,3549102,s&atilde;o-joanense,MARIA TERESINHA DE JESUS PEDROZA,516.399,91771,161.96,97.2,797,15.97,34.328.908.186,31.394.732.844,34522.54
S&atilde;o Jo&atilde;o das Duas Pontes,3549201,s&atilde;o-joanense,JOSE CARLOS CEZARE,129.462,2561,19.84,99.4,720,33.33,1.649.692.245,136.876.726,17241.57
S&atilde;o Jo&atilde;o de Iracema,3549250,iracemense,VALDIR CANDIDO RIBEIRO,178.396,1932,9.97,98.1,748,153.85,1.754.935.515,1.481.882.878,17697.63
S&atilde;o Jo&atilde;o do Pau d'Alho,3549300,s&atilde;o-joanense,FERNANDO BARBERINO,117.665,2100,17.86,99.2,750,43.48,1.478.483.723,1.226.472.769,21896.43
S&atilde;o Joaquim da Barra,3549409,joaquinense,WAGNER JOS&Eacute; SCHMIDT,410.863,52319,113.28,96.7,762,8.53,12.785.056.901,11.725.073.056,33011.12
S&atilde;o Jos&eacute; da Bela Vista,3549508,bela-vistense,WALTER CASSIO CARVALHO FACCIROLLI,276.952,8960,30.35,97.9,693,21.28,2.930.064.157,2.692.364.328,18219.25
S&atilde;o Jos&eacute; do Barreiro,3549607,barreirense,ALEXANDRE DE SIQUEIRA BRAGA,570.685,4144,7.14,95.5,684,24.39,2.079.915.331,1.763.631.202,12761.63
S&atilde;o Jos&eacute; do Rio Pardo,3549706,rio-pardense,MARCIO CALLEGARI ZANETTI,419.684,55124,123.81,97.6,774,5.67,17.927.576.725,16.263.164.764,33227.23
S&atilde;o Jos&eacute; do Rio Preto,3549805,rio-pretense,EDSON EDINHO COELHO ARA&Uacute;JO,431.944,464983,945.12,98,797,8.42,163.500.040.112,148.508.901.712,38449.70
S&atilde;o Jos&eacute; dos Campos,3549904,joseense,FELICIO RAMUTH,1.099.409,729737,572.96,97.4,807,9.34,285.578.677.665,243.945.695.088,55603.18
S&atilde;o Louren&ccedil;o da Serra,3549953,s&atilde;o-lourensano,ARY ANTONIO DESPEZZIO CINTRA,186.456,15978,74.99,97.2,728,4.95,40.826.834,3.717.015.235,13319.90
S&atilde;o Luiz do Paraitinga,3550001,luizense,ANA LUCIA BILARD SICHERLE,617.315,10690,16.84,100,697,8.26,3.556.658.113,3.233.016.485,15394.97
S&atilde;o Manuel,3550100,s&atilde;o-manuelense,RICARDO SALARO NETO,650.734,41123,58.92,97.3,744,9.54,13.071.472.011,1.142.406.622,29556.56
S&atilde;o Miguel Arcanjo,3550209,s&atilde;o-miguelense,PAULO RICARDO DA SILVA,930.339,33002,33.80,95.9,710,14.22,8.029.668.934,7.310.570.149,20727.11
S&atilde;o Paulo,3550308,paulistano,BRUNO COVAS LOPES,1.521.110,12325232,7398.26,96,805,11.19,5.401.099.675.963,5.141.402.907.708,58691.90
S&atilde;o Pedro,3550407,s&atilde;o-pedrense,THIAGO SILVERIO DA SILVA,611.278,35980,51.98,94.8,755,4.68,13.741.658.565,10.885.813.408,21316.77
S&atilde;o Pedro do Turvo,3550506,s&atilde;o-pedrense,MARCO AURELIO OLIVEIRA PINHEIRO,731.221,7696,9.84,97.4,703,23.26,2.983.191.661,2.589.361.321,23834.77
S&atilde;o Roque,3550605,s&atilde;o-roquense,MARCOS AUGUSTO ISSA HENRIQUES DE ARAUJO,306.908,92060,256.82,97.6,768,13.65,26.979.897.123,23.847.189.096,33039.26
S&atilde;o Sebasti&atilde;o,3550704,sebastianense,FELIPE AUGUSTO,402.395,90328,185.00,98.2,772,7.75,68.372.361.133,64.159.319.352,43173.65
S&atilde;o Sebasti&atilde;o da Grama,3550803,gramense,JOSE FRANCISCO MARTHA,252.410,12159,47.94,98.3,701,19.05,3.359.802.654,3.036.808.808,23386.39
S&atilde;o Sim&atilde;o,3550902,simonense,MARCOS DANIEL BONAGAMBA,617.252,15385,23.24,99.8,766,15.04,5.430.719.042,4.886.635.085,29049.13
S&atilde;o Vicente,3551009,vicentino,KAYO FELYPE NACHTAJLER AMADO,148.100,368355,2247.88,96.7,768,16.10,95.778.542.282,89.572.104.015,15006.76
Sarapu&iacute;,3551108,sarapuiano,GUSTAVO DE SOUZA BARROS VIEIRA,352.592,10390,25.60,99,707,8.47,2.841.951.452,2.639.332.905,14289.18
Sarutai&aacute;,3551207,sarutaiano,ISNAR FRESCHI SOARES,141.608,3630,25.58,98.7,688,17.24,1.552.029.483,1.311.647.751,16875.42
Sebastian&oacute;polis do Sul,3551306,sebastianopolense,MANOEL ERANI LEITE MAGALHAES,167.848,3554,18.03,99,773,48.78,2.404.580.127,1.881.318.047,71224.85
Serra Azul,3551405,serra-azulense,AUGUSTO FRASSETTO NETO,283.144,14981,39.75,96.9,686,7.41,3.023.727.602,2.632.356.501,10758.97
Serrana,3551504,serranense,LEONARDO CARESSATO CAPITELI,126.046,45644,308.44,97.5,729,7.85,12.439.386.169,12.413.069.363,20663.93
Serra Negra,3551603,serrano,ELMIR KALIL ABI CHEDID,203.734,29452,129.52,97.8,767,12.31,10.222.379.222,9.309.180.207,24910.92
Sert&atilde;ozinho,3551702,sertanezino,WILSON FERNANDES PIRES FILHO,403.089,127142,273.22,98.5,761,15.19,51.989.895.916,43.647.244.101,44163.83
Sete Barras,3551801,barrense,DEAN ALVES MARTINS,1.062.699,12780,12.24,96.1,673,4.95,4.008.521.132,3.669.815.678,28760.76
Sever&iacute;nia,3551900,severinense,GL&Aacute;UCIA EMILIA SCATOLIN,140.460,17661,110.38,96,715,16.22,5.676.233.992,5.337.290.145,13372.83
Silveiras,3552007,silveirense,GUILHERME CARVALHO DA SILVA,414.782,6339,13.96,98.2,678,14.29,2.425.916.692,2.142.088.003,11685.72
Socorro,3552106,socorrense,JOSU&Eacute; RICARDO LOPES,449.029,41352,81.70,97.7,729,12.08,10.373.351.939,9.475.396.146,21180.14
Sorocaba,3552205,sorocabano,RODRIGO MAGANHATO,450.382,687357,1304.18,98.1,798,9.71,290.461.770.346,241.115.068.528,52169.13
Sud Mennucci,3552304,sud-mennucciano,JOS&Eacute; URBINO DOS SANTOS NETO,594.744,7728,12.57,98.3,747,9.43,3.696.941.725,3.483.406.856,21694.14
Sumar&eacute;,3552403,sumareense,LUIZ ALFREDO CASTRO RUZZA DALBEN,153.465,286211,1572.04,97.7,762,8.88,69.737.801.979,59.415.462.105,51832.02
Suzano,3552502,suzanense,RODRIGO KENJI DE SOUZA ASHIUCHI,206.236,300559,1272.93,96.7,765,10.75,75.454.529.123,60.056.875.131,37835.81
Suzan&aacute;polis,3552551,suzanapolense,JOSE LUIZ GAVA,330.587,4014,10.24,99.8,699,27.03,2.763.255.855,2.302.492.817,64171.13
Tabapu&atilde;,3552601,tabapu&atilde;nense,SILVIO CESAR SARTORELLO,345.792,12485,32.88,98.4,735,17.86,3.894.930.441,3.420.520.659,19073.08
Tabatinga,3552700,tabatinguense,EDUARDO PONQUIO MARTINEZ,368.604,16644,39.74,96.5,704,14.15,4.272.524.708,3.600.723.217,15488.05
Tabo&atilde;o da Serra,3552809,taboense,JOSE APRIGIO DA SILVA,20.388,293652,11994.31,96.9,769,13.30,79.920.332.595,68.760.938.547,29340.90
Taciba,3552908,tacibense,ALAIR ANTONIO BATISTA,607.267,6329,9.41,99.3,723,12.35,40.441.753,3.417.234.895,25011.83
Tagua&iacute;,3553005,tagua&iacute;no,JAIR CARIOVALDO CARNIATO,145.332,14141,74.51,97.3,709,21.62,3.477.455.964,3.144.380.012,19998.06
Taia&ccedil;u,3553104,taia&ccedil;uense,MAURICIO LOFRANO GERALDO,107.059,6320,55.27,97.8,710,37.04,2.320.197.518,1.852.071.058,15473.51
Tai&uacute;va,3553203,taiuvense,LEANDRO JOS&Eacute; JESUS BAPTISTA,132.459,5564,41.12,97.8,760,34.48,2.084.196.812,1.911.440.334,20486.83
Tamba&uacute;,3553302,tambauense,LEONARDO TEIXEIRA SPIGA REAL,561.788,23232,39.88,97.7,731,13.20,8.478.278.536,7.003.354.986,24209.88
Tanabi,3553401,tanabiense,NORAIR CASSIANO DA SILVEIRA,747.218,26101,32.25,99,748,04.02,7.793.768.822,6.488.793.619,35899.14
Tapira&iacute;,3553500,tapiraiense,ARALDO TODESCO,755.100,7766,10.61,98.3,681,33.71,2.903.222.377,2.254.915.523,18028.56
Tapiratiba,3553609,tapiratibense,RAMON JESUS VIEIRA,221.891,12950,57.23,98.2,751,6.94,4.624.360.329,3.638.266.474,25093.84
Taquaral,3553658,taquaralense,PAULO SERGIO CARDOSO DE OLIVEIRA,53.892,2813,50.58,98.2,759,31.25,1.522.967.138,1.332.540.252,13710.81
Taquaritinga,3553708,taquaritinguense,VANDERLEI JOS&Eacute; M&Aacute;RSICO,594.335,57364,90.95,98.2,748,11.01,19.572.986.329,17.250.013.688,27561.71
Taquarituba,3553807,taquaritubense,EDER MIANO PEREIRA,448.515,23256,49.71,97.8,701,17.36,7.937.934.748,6.714.529.949,29717.12
Taquariva&iacute;,3553856,taquarivaiense,RUBENS CARLOS SOUTO DE BARROS,231.792,5911,22.22,99.4,679,10.53,2.402.300.551,2.177.357.811,37750.95
Tarabai,3553906,taraba&iacute;no,JOSE ROQUE  DA SILVA LIRA,201.385,7540,32.78,99.2,726,10.42,2.213.979.281,2.100.502.729,15509.65
Tarum&atilde;,3553955,tarumaense,OSCAR GOZZI,302.913,15183,42.50,99,753,14.35,6.826.510.796,5.273.548.111,52291.48
Tatu&iacute;,3554003,tatuiano,MARIA JOSE PINTO VIEIRA DE CAMARGO,523.749,122967,205.03,97.6,752,12.99,33.521.954.724,29.401.376.822,33202.74
Taubat&eacute;,3554102,taubateano,JOSE ANTONIO SAUD JUNIOR,625.003,317915,445.98,98.1,800,12.53,115.001.020.818,108.850.718.946,55369.58
Tejup&aacute;,3554201,tejupaense,VALTER BORANELLI,296.189,4491,16.23,98.4,668,16.39,2.038.466.136,1.702.499.747,17508.61
Teodoro Sampaio,3554300,teodorense,JANDIRA SAMPAIO CAVICHINI GUTIERREZ,1.555.803,23273,13.74,97.1,741,14.08,7.386.055.533,6.584.112.864,19004.83
Terra Roxa,3554409,terra-roxense,WALDYR M&Ocirc;NACO FILHO,221.541,9437,38.39,98.9,749,10.31,285.977.748,2.372.592.671,15136.01
Tiet&ecirc;,3554508,tieteense,VLAMIR DE JESUS SANDEI,404.396,42517,91.09,97.1,778,9.42,14.695.439.967,13.382.402.054,43859.26
Timburi,3554607,timburiense,SILVIO CESAR SAVOGIN POLO,196.790,2652,13.45,99.7,710,47.62,1.781.613.234,1.564.012.207,16512.98
Torre de Pedra,3554656,torrepedrense,CIRO LUIZ PEDROSO,71.348,2422,31.59,98.4,714,40.00,1.340.793.487,118.465.287,12505.12
Torrinha,3554706,torrinhense,RENE JOSE BLUMER,315.267,10056,29.59,96.4,744,19.42,2.705.147.801,220.238.828,20407.61
Trabiju,3554755,trabijuense,MAURILIO TAVONI JUNIOR,63.421,1738,24.35,98.4,722,142.86,1.319.932.883,1.094.536.461,23765.75
Trememb&eacute;,3554805,tremembeense,CLEMENTE ANTONIO DE LIMA NETO,191.094,47714,214.17,97.8,785,11.95,11.543.878.802,11.371.491.882,16194.84
Tr&ecirc;s Fronteiras,3554904,trifonteirano,RUBENS JOSE BEL&Atilde;O,151.594,5832,35.90,98.8,753,12.50,2.028.116.732,1.719.962.123,18493.07
Tuiuti,3554953,tuiutiense,ANDERSON SANTOS CORREIA,126.731,6977,46.80,97.3,728,18.87,2.104.998.575,1.814.940.958,20003.02
Tup&atilde;,3555000,tup&atilde;ense,CAIO KANJI PARDO AOQUI,627.986,65570,100.99,97.3,771,15.03,15.810.832.831,14.530.654.681,27412.94
Tupi Paulista,3555109,tupinense-paulista,ALEXANDRE TASSONI ANTONIO,244.770,15583,58.16,99.4,769,18.18,4.586.682.798,3.895.097.427,17786.01
Turi&uacute;ba,3555208,turiubano,RUBENS FERNANDO DE SOUZA,153.235,2020,12.60,100,751,71.43,1.713.843.291,1.559.311.808,20889.90
Turmalina,3555307,turmalinense,ALEXANDRO RIBEIRO PEREIRA,147.797,1696,13.37,97.1,736,90.91,1.665.498.595,1.456.755.513,31849.80
Ubarana,3555356,ubaranense,GOMIDES FERRAZ NETO,209.861,6400,25.23,99.7,700,10.87,2.700.748.148,2.417.093.582,50883.11
Ubatuba,3555406,ubatubano,FLAVIA C&Ocirc;MITTE DO NASCIMENTO,708.105,91824,108.87,97.7,751,14.15,31.508.335.965,29.815.669.047,23826.80
Ubirajara,3555505,ubirajarense,ADRIANA BOCARDI ALLEGRETTI,282.179,4804,15.68,98.9,727,11.63,2.043.785.761,1.656.292.581,19662.00
Uchoa,3555604,uchoense,VALDEMIR ANTONIO PINHEIRO DE CARVALHO,252.434,10151,37.51,98.2,721,10.64,4.144.311.356,3.690.101.191,22187.55
Uni&atilde;o Paulista,3555703,uni&atilde;o-paulistense,KENDREA ALVES PAPILE CAVAT&Atilde;O,79.056,1865,20.21,96.8,749,90.91,1.479.532.857,1.219.537.474,24943.12
Ur&acirc;nia,3555802,uraniense,MARCIO ARJOL DOMINGUES,209.262,9120,42.29,100,746,10.53,2.593.831.201,2.228.244.791,23635.22
Uru,3555901,uruense,ROBSON EDUARDO FORTE,146.901,1153,8.51,95.1,712,90.91,1.508.053.182,128.089.538,35143.93
Urup&ecirc;s,3556008,urupeense,ALCEMIR C&Aacute;SSIO GR&Eacute;GGIO,323.916,13888,39.27,99.1,745,6.90,4.232.188.297,3.802.705.381,28591.76
Valentim Gentil,3556107,valentim-gentilense,ADILSON JESUS PEREZ SEGURA,149.741,13532,73.72,98.8,735,10.93,4.149.125.856,3.359.752.379,24770.24
Valinhos,3556206,valinhense,LUCIMARA GODOY VILAS BOAS,148.538,131210,718.70,97.2,819,7.18,55.122.333.114,46.500.677.039,48768.26
Valpara&iacute;so,3556305,valparaisense,CARLOS ALEXANDRE PEREIRA,857.661,26822,26.33,98,725,15.53,819.810.777,7.631.353.161,33427.00
Vargem,3556354,vargense,SILAS MARQUES DA ROSA,142.595,10692,61.71,98.1,699,17.54,2.355.212.652,2.127.149.876,12706.02
Vargem Grande do Sul,3556404,vargem-grandense,AMARILDO DUZI MORAES,267.178,43110,146.94,98.8,737,10.79,10.600.373.403,9.927.163.142,22882.07
Vargem Grande Paulista,3556453,vargem-grandense,JOSUE SILVEIRA RAMOS,42.489,53468,1012.10,97.2,770,8.11,16.189.361.096,14.051.841.277,40282.68
V&aacute;rzea Paulista,3556503,varzino,RODOLFO WILSON RODRIGUES BRAGA,35.120,123071,3049.14,96.9,759,15.17,27.888.558.835,23.574.621.113,23585.08
Vera Cruz,3556602,vera-cruzense,RODOLFO SILVA DAVOLI,247.716,10823,43.41,99,754,09.01,2.910.265.535,2.598.575.064,13148.65
Vinhedo,3556701,vinhedense,DARIO PACHECO DE MORAIS,81.604,80111,779.51,97.5,817,9.50,46.851.238.042,41.835.627.866,119996.43
Viradouro,3556800,viradourense,ANTONIO CARLOS RIBEIRO DE SOUZA,217.726,19017,79.44,98.4,739,8.97,5.929.368.816,5.160.634.254,18419.26
Vista Alegre do Alto,3556909,vista-alegrense,LUIS ANTONIO FIORANI,95.429,8989,72.50,100,744,12.20,3.751.317.079,3.137.457.874,40055.36
Vit&oacute;ria Brasil,3556958,vitoriabrasiliense,PAULO HENRIQUE MIOTTO,49.832,1846,34.95,98.5,725,66.67,1.349.808.908,1.119.787.992,19590.64
Votorantim,3557006,votorantinense,FABIOLA ALVES DA SILVA PEDRICO,183.517,123599,591.04,97.8,767,13.64,36.692.473.451,34.541.468.654,25495.29
Votuporanga,3557105,votuporanguense,JORGE AUGUSTO SEBA,420.703,95338,201.15,98.8,790,8.61,30.345.350.469,27.205.423.556,31244.00
Zacarias,3557154,zacariense,HEDER JEAN BRUNO DE OLIVEIRA,319.056,2752,7.32,98.6,729,32.26,2.474.474.691,1.871.416.876,32979.59
Chavantes,3557204,chavantense,MARCIO BURGUINHA DE JESUS DO REGO,188.727,12418,64.40,98.6,729,5.29,3.853.801.922,3.434.323.006,16706.08
Estiva Gerbi,3557303,estivense,CLAUDIA BOTELHO DE OLIVEIRA DIEGUES,74.144,11407,135.35,98.6,740,7.87,4.072.784.327,3.542.287.636,29883.47